scene_id,platform,acquisition_date,orbit_pass,relative_orbit,absolute_orbit,polarization,size_mb,gap_days
S1A_IW_SLC__1SDV_20161209T105809_20161209T105837_014302_01726B_EA4A,Sentinel-1A,2016-12-09 10:58:09+00:00,ASCENDING,55,14302,VV+VH,4709.3,11.0
S1A_IW_SLC__1SDV_20161221T105809_20161221T105837_014477_0177E4_A92A,Sentinel-1A,2016-12-21 10:58:09+00:00,ASCENDING,55,14477,VV+VH,4731.1,12.0
S1A_IW_SLC__1SDV_20170102T105807_20170102T105835_014652_017D43_C774,Sentinel-1A,2017-01-02 10:58:07+00:00,ASCENDING,55,14652,VV+VH,4723.7,11.0
S1A_IW_SLC__1SDV_20170114T105807_20170114T105835_014827_01829C_5ADB,Sentinel-1A,2017-01-14 10:58:07+00:00,ASCENDING,55,14827,VV+VH,4740.2,12.0
S1A_IW_SLC__1SDV_20170126T105807_20170126T105834_015002_018804_AE7F,Sentinel-1A,2017-01-26 10:58:07+00:00,ASCENDING,55,15002,VV+VH,4714.0,12.0
S1A_IW_SLC__1SDV_20170207T105806_20170207T105834_015177_018D6A_2D6C,Sentinel-1A,2017-02-07 10:58:06+00:00,ASCENDING,55,15177,VV+VH,4731.5,11.0
S1A_IW_SLC__1SDV_20170219T105806_20170219T105834_015352_0192E4_78E0,Sentinel-1A,2017-02-19 10:58:06+00:00,ASCENDING,55,15352,VV+VH,4730.7,12.0
S1A_IW_SLC__1SDV_20170303T105806_20170303T105834_015527_01982D_88EB,Sentinel-1A,2017-03-03 10:58:06+00:00,ASCENDING,55,15527,VV+VH,4699.8,12.0
S1A_IW_SLC__1SDV_20170327T105752_20170327T105819_015877_01A2AE_CE03,Sentinel-1A,2017-03-27 10:57:52+00:00,ASCENDING,55,15877,VV+VH,4540.9,23.0
S1A_IW_SLC__1SDV_20170327T105817_20170327T105844_015877_01A2AE_EE39,Sentinel-1A,2017-03-27 10:58:17+00:00,ASCENDING,55,15877,VV+VH,4572.6,0.0
S1A_IW_SLC__1SDV_20170408T105752_20170408T105819_016052_01A7EA_3C97,Sentinel-1A,2017-04-08 10:57:52+00:00,ASCENDING,55,16052,VV+VH,4566.5,11.0
S1A_IW_SLC__1SDV_20170408T105817_20170408T105844_016052_01A7EA_B6C9,Sentinel-1A,2017-04-08 10:58:17+00:00,ASCENDING,55,16052,VV+VH,4591.2,0.0
S1A_IW_SLC__1SDV_20170420T105753_20170420T105820_016227_01AD47_2590,Sentinel-1A,2017-04-20 10:57:53+00:00,ASCENDING,55,16227,VV+VH,4560.0,11.0
S1A_IW_SLC__1SDV_20170420T105818_20170420T105845_016227_01AD47_CD77,Sentinel-1A,2017-04-20 10:58:18+00:00,ASCENDING,55,16227,VV+VH,4586.9,0.0
S1A_IW_SLC__1SDV_20170502T105753_20170502T105820_016402_01B293_D54F,Sentinel-1A,2017-05-02 10:57:53+00:00,ASCENDING,55,16402,VV+VH,4732.1,11.0
S1A_IW_SLC__1SDV_20170502T105818_20170502T105845_016402_01B293_8671,Sentinel-1A,2017-05-02 10:58:18+00:00,ASCENDING,55,16402,VV+VH,4595.5,0.0
S1A_IW_SLC__1SDV_20170514T105754_20170514T105821_016577_01B7E7_2F8B,Sentinel-1A,2017-05-14 10:57:54+00:00,ASCENDING,55,16577,VV+VH,4569.3,11.0
S1A_IW_SLC__1SDV_20170514T105819_20170514T105846_016577_01B7E7_18AE,Sentinel-1A,2017-05-14 10:58:19+00:00,ASCENDING,55,16577,VV+VH,4597.2,0.0
S1A_IW_SLC__1SDV_20170526T105755_20170526T105822_016752_01BD46_74DE,Sentinel-1A,2017-05-26 10:57:55+00:00,ASCENDING,55,16752,VV+VH,4581.8,11.0
S1A_IW_SLC__1SDV_20170526T105819_20170526T105846_016752_01BD46_BA73,Sentinel-1A,2017-05-26 10:58:19+00:00,ASCENDING,55,16752,VV+VH,4608.2,0.0
